paramunit
"Time of high tide_HOUR (HH.MM)"
"Sample Depth below surface_METRE"
"Temperature of Water_CELSIUS"
"Water Depth_METRE"
"Turbidity : In Situ_FORMAZIN TURBIDITY UNIT"
"NGR : Easting_NATIONAL GRID REFERENCE (METRIC)"
"NGR : Northing_NATIONAL GRID REFERENCE (METRIC)"
"Time of sampling relative to previous high water_HOUR (HH.MM)"
"Salinity : In Situ_Parts per thousand"
"Oxygen, Dissolved, % Saturation_PERCENTAGE"
"Oxygen, Dissolved as O2_MILLIGRAM PER LITRE"
"Phytoplankton_Coded Result"
"Volume of Sample Filtered_MILLILITRE"
"Nitrogen, Dissolved Inorganic : as N_MILLIGRAM PER LITRE"
"Nitrite, Filtered as N_MILLIGRAM PER LITRE"
"Chlorophyll : Acetone Extract_MICROGRAM PER LITRE"
"Nitrate, Filtered as N_MILLIGRAM PER LITRE"
"Orthophosphate, Filtered as P_MILLIGRAM PER LITRE"
"Silicate, Filtered as SiO2_MILLIGRAM PER LITRE"
"Nitrogen, Total Oxidised, Filtered as N_MILLIGRAM PER LITRE"
"Ammoniacal Nitrogen, Filtered as N_MILLIGRAM PER LITRE"
"Escherichia coli : Confirmed : MF_NUMBER PER HUNDRED MILLILITRES"
"Enterococci: Intestinal: Presumptive: MF_Colony Forming Units / 100ml"
"Enterococci: Intestinal: Confirmed: MF_Colony Forming Units / 100ml"
"Bathing Water Profile : Macroalgae_GARBER Survey Assessment Scale Code"
"Bathing Water Profile : Algal Bloom_GARBER Survey Assessment Scale Code"
"Bathing Water Profile : Other Litter (incl. plastics)_GARBER Survey Assessment Scale Code"
"Bathing Water Profile : Animal Faeces_GARBER Survey Assessment Scale Code"
"Bathers per 100 m_NUMBER"
"Sewage debris_GARBER Survey Assessment Scale Code"
"Number of beach users_NUMBER"
"Tarry residues_PRESENT/NOT FOUND"
"MST Filtration_Coded Result"
"Number of birds_UNITLESS VALUE"
"Number of dogs_NUMBER"
"Weather : Wind Direction : Degrees_DEGREE"
"Zooplankton_Coded Result"
